"sample_id","molecule_h5","sample_id_ori","Counts_List"
"76615_V5","/media/jianie/Seagate_SequencingFiles_2/20210126_UTA_NovaSeq_L3_Counts/76615_V5/outs/molecule_info.h5","76615_V5",63
"76632_V5","/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76632_V5_combine/outs/molecule_info.h5","76632_V5_combine",115
"76638_V5","/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76638_V5_combine/outs/molecule_info.h5","76638_V5_combine",116
"76643_V5","/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76643_V5_combine/outs/molecule_info.h5","76643_V5_combine",118
"76647_V5","/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76647_V5_combine/outs/molecule_info.h5","76647_V5_combine",119
"76649_V5","/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76649_V5_combine/outs/molecule_info.h5","76649_V5_combine",120
"76656_V5","/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76656_V5/outs/molecule_info.h5","76656_V5",109
"76658_V5","/media/jianie/SequencingFiles_3/20220620_Counts/76658_V5_combine_force12000/outs/molecule_info.h5","76658_V5_combine_force12000",160
"STARR_015","/media/jianie/Seagate_SequencingFiles_1/20190912_NovaSeq_fastq_Counts/STARR_015_combine_force/outs/molecule_info.h5","STARR_015_combine_force",28
"STARR_016","/media/jianie/Seagate_SequencingFiles_1/20190912_NovaSeq_fastq_Counts/STARR_016/outs/molecule_info.h5","STARR_016",30
"STARR_024","/media/jianie/Seagate_SequencingFiles_2/20210716_L2_counts_single/STARR_024_combine/outs/molecule_info.h5","STARR_024_combine",76
"STARR_026","/media/jianie/SequencingFiles_3/20220616_L1_Counts/STARR_026_combine/outs/molecule_info.h5","STARR_026_combine",155
"STARR_028","/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/STARR_028_force2000/outs/molecule_info.h5","STARR_028_force2000",89
"STARR_031","/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/STARR_031_force2000/outs/molecule_info.h5","STARR_031_force2000",98
"STARR_032","/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/STARR_032_force2000/outs/molecule_info.h5","STARR_032_force2000",97
"STARR_039","/media/jianie/Seagate_SequencingFiles_2/20210126_UTA_NovaSeq_L3_Counts/STARR_039_force1500/outs/molecule_info.h5","STARR_039_force1500",99
"STARR_041","/media/jianie/SequencingFiles_3/20220616_L1_Counts/STARR_041_combine_force12000/outs/molecule_info.h5","STARR_041_combine_force12000",157
"STARR_043","/media/jianie/SequencingFiles_3/20220616_L1_Counts/STARR_043_combine/outs/molecule_info.h5","STARR_043_combine",158
"STARR_049","/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/STARR_049_combine/outs/molecule_info.h5","STARR_049_combine",113
"STARR_051","/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/STARR_051_combine/outs/molecule_info.h5","STARR_051_combine",112
