"sample_id","molecule_h5","sample_id_ori","Counts_List"
"76615_V5","/media/jianie/Seagate_SequencingFiles_1/20210126_UTA_NovaSeq_L3_Counts/76615_V5_force10447/outs/molecule_info.h5","76615_V5_force10447",264
"76632_V11","/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76632_V11_combine_force6000/outs/molecule_info.h5","76632_V11_combine_force6000",170
"76632_V5","/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76632_V5_combine/outs/molecule_info.h5","76632_V5_combine",115
"76638_V5","/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76638_V5_combine/outs/molecule_info.h5","76638_V5_combine",116
"76643_V5","/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76643_V5_combine/outs/molecule_info.h5","76643_V5_combine",118
"76647_V5","/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76647_V5_combine_force9410/outs/molecule_info.h5","76647_V5_combine_force9410",235
"76649_V5","/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76649_V5_combine_force14472/outs/molecule_info.h5","76649_V5_combine_force14472",236
"STARR_015","/media/jianie/Seagate_SequencingFiles_1/20190912_NovaSeq_fastq_Counts/STARR_015_combine_force12660/outs/molecule_info.h5","STARR_015_combine_force12660",230
"STARR_016","/media/jianie/Seagate_SequencingFiles_1/20190912_NovaSeq_fastq_Counts/STARR_016_force7398/outs/molecule_info.h5","STARR_016_force7398",267
"STARR_024","/media/jianie/SequencingFiles_3/20210716_L2_counts_single/STARR_024_combine_force9907/outs/molecule_info.h5","STARR_024_combine_force9907",266
"STARR_026","/media/jianie/SequencingFiles_3/20220616_L1_Counts/STARR_026_combine_force8966/outs/molecule_info.h5","STARR_026_combine_force8966",247
"STARR_028","/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/STARR_028/outs/molecule_info.h5","STARR_028",44
"STARR_031","/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/STARR_031_force2072/outs/molecule_info.h5","STARR_031_force2072",267
"STARR_032","/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/STARR_032_force3767/outs/molecule_info.h5","STARR_032_force3767",268
"STARR_039","/media/jianie/Seagate_SequencingFiles_1/20210126_UTA_NovaSeq_L3_Counts/STARR_039_force2000/outs/molecule_info.h5","STARR_039_force2000",92
"STARR_041","/media/jianie/SequencingFiles_3/20220616_L1_Counts/STARR_041_combine3/outs/molecule_info.h5","STARR_041_combine3",156
"STARR_043","/media/jianie/SequencingFiles_3/20220616_L1_Counts/STARR_043_combine_force9146/outs/molecule_info.h5","STARR_043_combine_force9146",269
"STARR_049","/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/STARR_049_combine_force8498/outs/molecule_info.h5","STARR_049_combine_force8498",270
"STARR_059","/media/jianie/SequencingFiles_3/20220616_L1_Counts/STARR_059_force5793/outs/molecule_info.h5","STARR_059_force5793",271
"STARR_060","/media/jianie/SequencingFiles_4/20220715_Counts/STARR_060_combine_force9464/outs/molecule_info.h5","STARR_060_combine_force9464",272
"STARR_063","/media/jianie/SequencingFiles_4/20220715_Counts/STARR_063_combine_force7508/outs/molecule_info.h5","STARR_063_combine_force7508",273
"STARR_069","/media/jianie/SequencingFiles_4/20220715_Counts/STARR_069_combine_force8196/outs/molecule_info.h5","STARR_069_combine_force8196",274
"STARR_071","/media/jianie/SequencingFiles_4/20220715_Counts/STARR_071_combine_force11261/outs/molecule_info.h5","STARR_071_combine_force11261",275
"STARR_072","/media/jianie/SequencingFiles_4/20220715_Counts/STARR_072_combine_force13147/outs/molecule_info.h5","STARR_072_combine_force13147",254
"STARR_075","/media/jianie/SequencingFiles_4/20220715_Counts/STARR_075_combine_force18792/outs/molecule_info.h5","STARR_075_combine_force18792",276
"STARR_080","/media/jianie/SequencingFiles_4/20220715_Counts/STARR_080_force4270/outs/molecule_info.h5","STARR_080_force4270",279
"STARR_085","/media/jianie/SequencingFiles_4/20220715_Counts/STARR_085_Bar_force9000/outs/molecule_info.h5","STARR_085_Bar_force9000",280
