"sample_id","molecule_h5","sample_id_ori","Counts_List"
"76615_V5","/media/jianie/Seagate_SequencingFiles_1/20210126_UTA_NovaSeq_L3_Counts/76615_V5_force10739/outs/molecule_info.h5","76615_V5_force10739",281
"76632_V11","/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76632_V11_combine_force6012/outs/molecule_info.h5","76632_V11_combine_force6012",282
"76632_V5","/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76632_V5_combine_force9721/outs/molecule_info.h5","76632_V5_combine_force9721",291
"76638_V11","/media/jianie/SequencingFiles_6/20220914_Counts/76638_V11_3_combine_force20626/outs/molecule_info.h5","76638_V11_3_combine_force20626",346
"76638_V5","/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76638_V5_combine_force9455/outs/molecule_info.h5","76638_V5_combine_force9455",292
"76643_V11","/media/jianie/SequencingFiles_6/20220801_Counts/76643_V11_combine_force24368/outs/molecule_info.h5","76643_V11_combine_force24368",299
"76643_V5","/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76643_V5_combine/outs/molecule_info.h5","76643_V5_combine",118
"76647_V11","/media/jianie/SequencingFiles_6/20220801_Counts/76647_V11_combine_force14711/outs/molecule_info.h5","76647_V11_combine_force14711",294
"76647_V5","/media/jianie/SequencingFiles_7/20220926_Counts/76647_V5_3_combine_force14101/outs/molecule_info.h5","76647_V5_3_combine_force14101",352
"76649_V11","/media/jianie/SequencingFiles_6/20220801_Counts/76649_V11_combine_force23571/outs/molecule_info.h5","76649_V11_combine_force23571",295
"76649_V5","/media/jianie/SequencingFiles_3/20211105_L3_L4_Counts/76649_V5_combine_force14435/outs/molecule_info.h5","76649_V5_combine_force14435",287
"76656_V11","/media/jianie/SequencingFiles_6/20220801_Counts/76656_V11_combine_force13551/outs/molecule_info.h5","76656_V11_combine_force13551",296
"76656_V5","/media/jianie/SequencingFiles_7/20220926_Counts/76656_V5_2_combine_force7982/outs/molecule_info.h5","76656_V5_2_combine_force7982",359
"76658_V11","/media/jianie/SequencingFiles_6/20220801_Counts/76658_V11_combine_force23868/outs/molecule_info.h5","76658_V11_combine_force23868",301
"76658_V5","/media/jianie/SequencingFiles_6/20220914_Counts/76658_V5_3_combine_force22986/outs/molecule_info.h5","76658_V5_3_combine_force22986",339
"76660_V11","/media/jianie/SequencingFiles_6/20220914_Counts/76660_V11_2_combine_force12699/outs/molecule_info.h5","76660_V11_2_combine_force12699",348
"76660_V5","/media/jianie/SequencingFiles_6/20220801_Counts/76660_V5_combine_force17696/outs/molecule_info.h5","76660_V5_combine_force17696",300
"76661_V11","/media/jianie/SequencingFiles_6/20220914_Counts/76661_V11_2_combine_force23379/outs/molecule_info.h5","76661_V11_2_combine_force23379",350
"76661_V5","/media/jianie/SequencingFiles_6/20220801_Counts/76661_V5_combine_force14743/outs/molecule_info.h5","76661_V5_combine_force14743",298
